2025-02-22 13:41:05,984 INFO    MainThread:53041 [wandb_setup.py:_flush():68] Current SDK version is 0.19.1
2025-02-22 13:41:05,985 INFO    MainThread:53041 [wandb_setup.py:_flush():68] Configure stats pid to 53041
2025-02-22 13:41:05,985 INFO    MainThread:53041 [wandb_setup.py:_flush():68] Loading settings from /home/eduardocortes/.config/wandb/settings
2025-02-22 13:41:05,985 INFO    MainThread:53041 [wandb_setup.py:_flush():68] Loading settings from /home/eduardocortes/cognitivellm/wandb/settings
2025-02-22 13:41:05,985 INFO    MainThread:53041 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-02-22 13:41:05,985 INFO    MainThread:53041 [wandb_init.py:_log_setup():528] Logging user logs to /home/eduardocortes/cognitivellm/wandb/run-20250222_134105-vy3vbe0j/logs/debug.log
2025-02-22 13:41:05,985 INFO    MainThread:53041 [wandb_init.py:_log_setup():529] Logging internal logs to /home/eduardocortes/cognitivellm/wandb/run-20250222_134105-vy3vbe0j/logs/debug-internal.log
2025-02-22 13:41:05,985 INFO    MainThread:53041 [wandb_init.py:init():644] calling init triggers
2025-02-22 13:41:05,985 INFO    MainThread:53041 [wandb_init.py:init():650] wandb.init called with sweep_config: {}
config: {}
2025-02-22 13:41:05,985 INFO    MainThread:53041 [wandb_init.py:init():680] starting backend
2025-02-22 13:41:05,985 INFO    MainThread:53041 [wandb_init.py:init():684] sending inform_init request
2025-02-22 13:41:06,010 INFO    MainThread:53041 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-22 13:41:06,011 INFO    MainThread:53041 [wandb_init.py:init():697] backend started and connected
2025-02-22 13:41:06,016 INFO    MainThread:53041 [wandb_init.py:init():790] updated telemetry
2025-02-22 13:41:06,038 INFO    MainThread:53041 [wandb_init.py:init():822] communicating run to backend with 90.0 second timeout
2025-02-22 13:41:07,946 INFO    MainThread:53041 [wandb_init.py:init():874] starting run threads in backend
2025-02-22 13:41:08,043 INFO    MainThread:53041 [wandb_run.py:_console_start():2374] atexit reg
2025-02-22 13:41:08,043 INFO    MainThread:53041 [wandb_run.py:_redirect():2224] redirect: wrap_raw
2025-02-22 13:41:08,043 INFO    MainThread:53041 [wandb_run.py:_redirect():2289] Wrapping output streams.
2025-02-22 13:41:08,043 INFO    MainThread:53041 [wandb_run.py:_redirect():2314] Redirects installed.
2025-02-22 13:41:08,044 INFO    MainThread:53041 [wandb_init.py:init():916] run started, returning control to user process
2025-02-22 13:44:22,563 WARNING MsgRouterThr:53041 [router.py:message_loop():75] message_loop has been closed
